,date,day,desc,humidity,precip,temp,wind
0,JAN 17,Tonight,Snow Early,86%,90%,--33°,ESE 3 mph 
1,JAN 18,Fri,AM Clouds/PM Sun,74%,10%,45°32°,NW 6 mph 
2,JAN 19,Sat,PM Rain/Snow,78%,100%,39°39°,E 9 mph 
3,JAN 20,Sun,Cloudy/Wind,63%,20%,43°9°,NW 24 mph 
4,JAN 21,Mon,Sunny,38%,0%,21°11°,NW 17 mph 
5,JAN 22,Tue,Mostly Cloudy,40%,0%,34°31°,SSW 10 mph 
6,JAN 23,Wed,Showers,76%,50%,49°42°,SSW 10 mph 
7,JAN 24,Thu,Partly Cloudy,63%,20%,46°27°,NW 12 mph 
8,JAN 25,Fri,Partly Cloudy,56%,10%,38°23°,NW 8 mph 
9,JAN 26,Sat,Partly Cloudy,61%,20%,35°23°,WNW 9 mph 
10,JAN 27,Sun,Partly Cloudy,60%,20%,36°24°,W 10 mph 
11,JAN 28,Mon,Partly Cloudy,63%,10%,33°23°,NW 10 mph 
12,JAN 29,Tue,Partly Cloudy,59%,20%,35°25°,WNW 10 mph 
13,JAN 30,Wed,Partly Cloudy,57%,10%,36°22°,NW 11 mph 
14,JAN 31,Thu,Partly Cloudy,57%,10%,33°21°,NW 12 mph 
